Jaar;Maand;Cyclus
2001;januari;1,17
2001;februari;1,13
2001;maart;1,06
2001;april;1
2001;mei;0,94
2001;juni;0,86
2001;juli;0,8
2001;augustus;0,73
2001;september;0,66
2001;oktober;0,61
2001;november;0,53
2001;december;0,47
2002;januari;0,44
2002;februari;0,38
2002;maart;0,33
2002;april;0,31
2002;mei;0,22
2002;juni;0,15
2002;juli;0,08
2002;augustus;-0,04
2002;september;-0,12
2002;oktober;-0,17
2002;november;-0,28
2002;december;-0,35
2003;januari;-0,42
2003;februari;-0,53
2003;maart;-0,63
2003;april;-0,7
2003;mei;-0,82
2003;juni;-0,91
2003;juli;-0,96
2003;augustus;-1,03
2003;september;-1,06
2003;oktober;-1,03
2003;november;-1,03
2003;december;-1
2004;januari;-0,96
2004;februari;-0,95
2004;maart;-0,94
2004;april;-0,91
2004;mei;-0,89
2004;juni;-0,85
2004;juli;-0,81
2004;augustus;-0,78
2004;september;-0,76
2004;oktober;-0,76
2004;november;-0,8
2004;december;-0,81
2005;januari;-0,83
2005;februari;-0,83
2005;maart;-0,81
2005;april;-0,79
2005;mei;-0,76
2005;juni;-0,73
2005;juli;-0,71
2005;augustus;-0,67
2005;september;-0,63
2005;oktober;-0,59
2005;november;-0,52
2005;december;-0,46
2006;januari;-0,4
2006;februari;-0,31
2006;maart;-0,21
2006;april;-0,14
2006;mei;-0
2006;juni;0,1
2006;juli;0,17
2006;augustus;0,3
2006;september;0,39
2006;oktober;0,43
2006;november;0,54
2006;december;0,61
2007;januari;0,66
2007;februari;0,75
2007;maart;0,83
2007;april;0,89
2007;mei;1,01
2007;juni;1,1
2007;juli;1,14
2007;augustus;1,22
2007;september;1,26
2007;oktober;1,28
2007;november;1,35
2007;december;1,4
2008;januari;1,41
2008;februari;1,45
2008;maart;1,46
2008;april;1,44
2008;mei;1,41
2008;juni;1,37
2008;juli;1,31
2008;augustus;1,25
2008;september;1,19
2008;oktober;1,11
2008;november;1,03
2008;december;0,76
2009;januari;0,52
2009;februari;-0,19
2009;maart;-0,27
2009;april;-0,32
2009;mei;-0,48
2009;juni;-0,53
2009;juli;-0,53
2009;augustus;-0,57
2009;september;-0,6
2009;oktober;-0,55
2009;november;-0,55
2009;december;-0,54
2010;januari;-0,5
2010;februari;-0,5
2010;maart;-0,47
2010;april;-0,41
2010;mei;-0,37
2010;juni;-0,32
2010;juli;-0,26
2010;augustus;-0,2
2010;september;-0,15
2010;oktober;-0,1
2010;november;-0,03
2010;december;0,02
2011;januari;0,06
2011;februari;0,12
2011;maart;0,36
2011;april;0,37
2011;mei;0,38
2011;juni;0,36
2011;juli;0,3
2011;augustus;0,24
2011;september;0,15
2011;oktober;0,07
2011;november;0
2011;december;-0,05
2012;januari;-0,09
2012;februari;-0,13
2012;maart;-0,16
2012;april;-0,18
2012;mei;-0,24
2012;juni;-0,26
2012;juli;-0,27
2012;augustus;-0,52
2012;september;-0,56
2012;oktober;-0,59
2012;november;-0,68
2012;december;-0,74
2013;januari;-0,89
2013;februari;-1,09
2013;maart;-1,05
2013;april;-1,09
2013;mei;-1,15
2013;juni;-1,16
2013;juli;-1,15
2013;augustus;-1,14
2013;september;-1,08
2013;oktober;-1,01
2013;november;-0,96
2013;december;-0,89
2014;januari;-0,85
2014;februari;-0,82
2014;maart;-0,8
2014;april;-0,78
2014;mei;-0,76
2014;juni;-0,74
2014;juli;-0,73
2014;augustus;-0,71
2014;september;-0,7
2014;oktober;-0,68
2014;november;-0,66
2014;december;-0,62
2015;januari;-0,58
2015;februari;-0,54
2015;maart;-0,48
2015;april;-0,43
2015;mei;-0,38
2015;juni;-0,34
2015;juli;-0,3
2015;augustus;-0,27
2015;september;-0,24
2015;oktober;-0,23
2015;november;-0,21
2015;december;-0,21
2016;januari;-0,22
2016;februari;-0,2
2016;maart;-0,17
2016;april;-0,15
2016;mei;-0,1
2016;juni;-0,09
2016;juli;-0,06
2016;augustus;-0,01
2016;september;0,04
2016;oktober;0,08
2016;november;0,14
2016;december;0,18
2017;januari;0,22
2017;februari;0,28
2017;maart;0,32
2017;april;0,36
2017;mei;0,41
2017;juni;0,45
2017;juli;0,48
2017;augustus;0,55
2017;september;0,58
2017;oktober;0,62
2017;november;0,68
2017;december;0,72
2018;januari;0,75
2018;februari;0,8
2018;maart;0,83
2018;april;0,83
2018;mei;0,85
2018;juni;0,85
2018;juli;0,84
2018;augustus;0,85
2018;september;0,85
2018;oktober;0,82
2018;november;0,82
2018;december;0,78
2019;januari;0,74
2019;februari;0,71
2019;maart;0,68
2019;april;0,65
2019;mei;0,63
2019;juni;0,61
2019;juli;0,58
2019;augustus;0,54
2019;september;0,51
2019;oktober;0,48
2019;november;0,42
2019;december;0,5
2020;januari;0,39
2020;februari;0,31
2020;maart;0,2
2020;april;-0,35
2020;mei;-1,04
2020;juni;-1,99
2020;juli;-2
2020;augustus;-1,32
2020;september;-1,16
2020;oktober;-0,95
2020;november;-0,87
2020;december;-0,61
2021;januari;-0,72
2021;februari;-0,92
2021;maart;-0,86
2021;april;-0,71
2021;mei;-0,47
2021;juni;-0,29
2021;juli;0,01
2021;augustus;0,4
2021;september;0,48
2021;oktober;0,58
2021;november;0,67
2021;december;0,71
2022;januari;0,66
2022;februari;0,36
2022;maart;0,51
2022;april;0,6
2022;mei;0,74
2022;juni;0,77
2022;juli;0,72
2022;augustus;0,71
2022;september;0,61
2022;oktober;0,49
2022;november;0,43
2022;december;0,33
2023;januari;0,23
2023;februari;0,12
2023;maart;0,02
2023;april;-0,09
2023;mei;-0,23
2023;juni;-0,35
2023;juli;-0,46
2023;augustus;-0,6
2023;september;-0,67
2023;oktober;-0,72
2023;november;-0,81
2023;december;-0,86
2024;januari;-0,91
2024;februari;-1
