ID,HouseholdCharacteristics,Periods,MedianDevelopmentPurchasingPower_1,PersonsWithPurchasingPowerDecrease_2,PersonsWithPurchasingPowerIncrease_3,k_20thPercentile_4,k_40thPercentile_5,k_60thPercentile_6,k_80thPercentile_7
0,T009002,2012JJ00,-1.1,57.8,42.2,-9.4,-2.5,0.4,7.1
1,T009002,2013JJ00,-1.1,56.0,44.0,-9.6,-2.8,0.8,7.9
2,T009002,2014JJ00,1.9,37.6,62.4,-6.5,0.4,3.7,11.6
3,T009002,2015JJ00,1.3,40.4,59.6,-6.8,-0.1,3.3,11.4
4,T009002,2016JJ00,3.0,32.3,67.7,-4.6,1.2,5.4,13.9
5,T009002,2017JJ00,0.7,43.9,56.1,-6.4,-0.5,2.6,11.5
6,T009002,2018JJ00,0.6,45.6,54.4,-6.3,-0.5,2.7,11.6
7,T009002,2019JJ00,1.5,35.6,64.4,-5.4,0.5,3.6,12.3
8,T009002,2020JJ00,2.5,32.0,68.0,-5.6,1.2,4.8,13.4
9,T009002,2021JJ00,1.4,41.8,58.2,-5.8,-0.2,3.7,13.0
10,T009002,2022JJ00,-1.2,55.0,45.0,-8.2,-3.0,1.4,8.9
11,1050015,2012JJ00,-1.1,63.9,36.1,-5.8,-1.8,-0.4,4.2
12,1050015,2013JJ00,-1.5,63.5,36.5,-6.9,-2.4,-0.4,4.4
13,1050015,2014JJ00,1.6,32.5,67.5,-3.2,0.8,2.4,7.7
14,1050015,2015JJ00,0.9,36.6,63.4,-3.4,0.3,1.5,6.6
15,1050015,2016JJ00,1.6,29.7,70.3,-2.3,1.0,2.4,8.3
16,1050015,2017JJ00,0.3,44.3,55.7,-3.7,-0.3,0.8,5.7
17,1050015,2018JJ00,-0.1,51.9,48.1,-3.3,-0.4,0.4,5.8
18,1050015,2019JJ00,0.9,30.3,69.7,-2.1,0.5,1.5,6.6
19,1050015,2020JJ00,1.7,24.3,75.7,-1.5,1.3,2.4,7.9
20,1050015,2021JJ00,0.1,46.6,53.4,-2.3,-0.2,1.1,7.2
21,1050015,2022JJ00,-1.2,54.8,45.2,-4.8,-2.6,1.6,6.5
22,1016010,2012JJ00,-1.1,56.9,43.1,-9.3,-2.6,0.6,7.0
23,1016010,2013JJ00,-0.9,54.8,45.2,-9.2,-2.8,1.1,7.9
24,1016010,2014JJ00,2.0,37.8,62.2,-6.2,0.4,4.0,11.5
25,1016010,2015JJ00,1.6,40.4,59.6,-6.5,-0.1,3.7,11.5
26,1016010,2016JJ00,3.5,32.0,68.0,-4.3,1.4,5.8,14.0
27,1016010,2017JJ00,0.9,43.6,56.4,-6.3,-0.5,3.0,11.6
28,1016010,2018JJ00,0.9,44.3,55.7,-6.2,-0.5,3.2,11.7
29,1016010,2019JJ00,1.9,36.0,64.0,-5.3,0.5,4.0,12.4
30,1016010,2020JJ00,2.9,32.6,67.4,-5.5,1.2,5.3,13.5
31,1016010,2021JJ00,1.8,40.7,59.3,-5.8,-0.1,4.1,13.0
32,1016010,2022JJ00,-1.2,55.2,44.8,-8.3,-3.1,1.2,8.8
33,1050190,2012JJ00,-1.3,57.2,42.8,-10.3,-3.0,0.6,7.7
34,1050190,2013JJ00,-0.7,53.7,46.3,-9.8,-2.3,1.3,8.9
35,1050190,2014JJ00,2.2,37.5,62.5,-6.7,0.6,4.2,12.6
36,1050190,2015JJ00,2.9,36.0,64.0,-6.1,0.8,5.7,14.9
37,1050190,2016JJ00,3.6,32.1,67.9,-5.1,1.5,6.0,14.5
38,1050190,2017JJ00,1.5,38.5,61.5,-6.3,0.2,3.7,12.8
39,1050190,2018JJ00,1.1,42.3,57.7,-6.6,-0.3,3.5,12.8
40,1050190,2019JJ00,1.9,36.3,63.7,-5.9,0.5,4.2,13.4
41,1050190,2020JJ00,2.7,33.2,66.8,-5.8,1.3,5.0,13.8
42,1050190,2021JJ00,2.1,38.0,62.0,-5.7,0.3,4.5,13.9
43,1050190,2022JJ00,1.2,45.7,54.3,-7.5,-1.5,3.3,11.9
44,1050055,2012JJ00,-1.0,56.9,43.1,-8.5,-2.5,0.6,6.6
45,1050055,2013JJ00,-0.9,54.9,45.1,-8.5,-2.7,1.0,7.4
46,1050055,2014JJ00,2.0,37.1,62.9,-5.5,0.5,4.0,10.9
47,1050055,2015JJ00,1.5,40.3,59.7,-5.9,0.0,3.5,10.6
48,1050055,2016JJ00,3.5,31.1,68.9,-3.6,1.5,5.8,13.4
